celebrity,co2kg,image
Taylor Swift,2971500,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Taylor_Swift_at_the_2023_MTV_Video_Music_Awards_%283%29.png/406px-Taylor_Swift_at_the_2023_MTV_Video_Music_Awards_%283%29.png
Drake,2904250,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Drake_July_2016.jpg/466px-Drake_July_2016.jpg
Floyd Mayweather,2205220,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Floyd_Mayweather%2C_Jr._at_DeWalt_event_%285888721735%29_%28rotated_4%29.jpg/464px-Floyd_Mayweather%2C_Jr._at_DeWalt_event_%285888721735%29_%28rotated_4%29.jpg
Jay-Z,2107720,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Jay-Z_%40_Shawn_%27Jay-Z%27_Carter_Foundation_Carnival_%28crop_2%29.jpg/498px-Jay-Z_%40_Shawn_%27Jay-Z%27_Carter_Foundation_Carnival_%28crop_2%29.jpg
Kim Kardashian,1752510,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Kim_Kardashian_West_2014.jpg/400px-Kim_Kardashian_West_2014.jpg
A-Rod,1731100,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Alex_Rodriguez_crop.jpg/388px-Alex_Rodriguez_crop.jpg
Steven Spielberg,1485690,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/MKr25425_Steven_Spielberg_%28Berlinale_2023%29.jpg/400px-MKr25425_Steven_Spielberg_%28Berlinale_2023%29.jpg
Mark Wahlberg,1443270,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Mark_Wahlberg_2021.jpg/441px-Mark_Wahlberg_2021.jpg
Blake Shelton,1357850,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Blake_Shelton_July_2017_%28cropped%29.jpg/483px-Blake_Shelton_July_2017_%28cropped%29.jpg
Jack Nicklaus,1129660,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Jack_Nicklaus_2019_Jenkins_Medal_Awards_%28cropped%29.jpg/404px-Jack_Nicklaus_2019_Jenkins_Medal_Awards_%28cropped%29.jpg
