country,poultry,beef,mutton,pork,other,fish
Andorra,25.396244,13.53849,1.6506743,33.793667,1.4454364,21.772507
Singapore,11.283439,5.218092,2.1321445,14.250832,0.29292032,24.501886
Liechtenstein,25.396244,13.53849,1.6506743,33.793667,1.4454364,21.772507
Eritrea,6.2123017,5.1459312,2.3520641,1.525299,1.2270213,9.446504
Marshall Islands,34.13836,24.404108,8.121509,19.627934,10.354506,22.35466
Bahamas,47.93481,27.38138,0.63939923,24.036839,0.72403926,18.27674
Palau,34.13836,24.404108,8.121509,19.627934,10.354506,22.35466
Somalia,6.2123017,5.1459312,2.3520641,1.525299,1.2270213,9.446504
Palestine,11.283439,5.218092,2.1321445,14.250832,0.29292032,24.501886
Slovak Republic,25.396244,13.53849,1.6506743,33.793667,1.4454364,21.772507
Tuvalu,34.13836,24.404108,8.121509,19.627934,10.354506,22.35466
