country,poultry,beef,mutton,pork,other,fish
Afghanistan,1.7080745,3.226363,4.035451,0,0.2996622,0.35959464
Africa,6.2123017,5.1459312,2.3520641,1.525299,1.2270213,9.446504
Albania,13.993244,11.694497,8.29155,5.2700524,0,8.683039
Algeria,6.4386396,3.865202,8.134081,0.020183822,0.32294115,3.8147426
Angola,8.268556,3.3723123,0.73738605,6.921597,0.29495442,13.902185
Antigua and Barbuda,65.26412,5.3259583,1.035603,15.121918,0.052836888,57.116673
Argentina,46.39397,47.096455,1.4250365,14.471147,1.1540788,6.804048
Armenia,16.149052,25.242794,3.7917,8.586775,0.021123677,5.7878876
Asia,11.283439,5.218092,2.1321445,14.250832,0.29292032,24.501886
Australia,48.40696,36.77459,10.549598,24.07931,0.9139012,23.940237
Austria,15.833376,15.024519,1.051514,45.528538,0.33365354,14.448209
Azerbaijan,14.21562,13.279085,8.290802,0.57177943,0,2.0110862
Bahrain,50.61628,15.766481,24.680475,0.86375904,0.9328598,18.74933
Bangladesh,1.6132424,1.2296056,1.4165056,0,0,26.27421
Barbados,50.45203,8.200502,3.388722,12.613008,0.061426982,43.879345
Belarus,31.603193,18.263546,0.11770277,38.429955,0.24521409,11.623149
Belgium,12.470023,14.013741,1.2830893,32.87916,1.3532583,22.754787
Belize,23.97272,3.6246028,0.060410045,20.952217,0.22150351,13.35062
Benin,8.332643,3.490313,0.76710176,0.7095691,0.6520365,15.552987
Bermuda,49.08718,35.076923,5.2820516,16.133333,0,45.743587
Bhutan,4.5846405,9.279153,0.28966138,1.8877932,,7.311453
Bolivia,39.959187,21.123798,3.0707743,9.515489,1.7603165,2.73827
Bosnia and Herzegovina,19.783333,12.694552,0.2966017,9.184766,0.3361486,7.187648
Botswana,3.2599907,9.429038,2.2903051,0.44328484,10.943595,2.3918912
Brazil,48.245445,35.30422,0.64805824,14.14761,0.50847644,8.055862
Brunei,56.012882,9.165561,1.756396,6.68238,0.1009423,29.031006
Bulgaria,21.385387,3.434804,1.284318,29.907684,0.6770048,7.327582
Burkina Faso,9.207191,5.1571927,3.7392075,14.772298,0.3884891,8.663307
Burundi,0.5449028,0.89519745,0.70058936,0.8270846,0.06811285,2.5299058
Cambodia,2.8142185,4.2723103,0.010196444,6.036295,0,46.64873
Cameroon,3.3068225,3.0563056,1.292667,1.2425637,2.7556856,19.179571
Canada,39.94489,27.39363,1.0558999,21.307262,0.49806598,20.649815
Cape Verde,18.512451,1.6413102,1.8130751,6.966026,0.038170002,10.305901
