country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,1320,903,670,991,942,897,858,818,794,775,1260,1280,1260,1350,1370,1540,1570,1830,2030,1960,2120,2170,2140,2110,2100,2100,2060,2080,1970,1520,1430
Angola,4030,3050,3070,3500,3940,4170,4310,4340,4400,4510,5020,5060,5470,6130,6670,7380,7910,7680,7690,7660,8010,8100,8180,7970,7490,7220,6880,6600,6030,5910,5910
Albania,3450,3790,4120,4620,5050,4510,4930,5600,6020,6570,6890,7280,7700,8150,8670,9230,9970,10.3k,10.7k,11.1k,11.2k,11.4k,11.6k,11.9k,12.3k,12.8k,13.3k,13.7k,13.3k,14.6k,15.5k
Andorra,41.3k,39.5k,39.4k,39.8k,41.5k,45.4k,47.1k,48.9k,48.5k,48.8k,49k,53.1k,56k,61.3k,66k,67.1k,64.1k,64.7k,60.5k,60.9k,57.9k,55.7k,56.6k,56.5k,57.5k,56.4k,56.2k,56.3k,49.7k,52.8k,56k
United Arab Emirates,75.7k,75.6k,79.7k,83.8k,86.3k,90k,87.1k,86.4k,92.4k,90.3k,89k,93.1k,97.8k,96k,92.6k,80k,69.5k,57.4k,54.7k,57.8k,59.9k,62.4k,64.3k,68.1k,71.2k,71.2k,71.6k,71.8k,67.7k,69.7k,74.3k
Argentina,16.5k,17.6k,18.3k,17.6k,18.3k,19.6k,20.1k,19.2k,18.8k,17.8k,15.6k,16.8k,18.1k,19.5k,20.8k,22.4k,23.1k,21.5k,23.5k,24.6k,24.1k,24.4k,23.6k,23.9k,23.2k,23.6k,22.7k,22.1k,19.7k,21.5k,22.4k
Armenia,3350,3060,3260,3480,3640,3720,3960,4060,4290,4690,5290,6010,6610,7500,8470,9630,10.3k,8860,9070,9550,10.3k,10.7k,11.1k,11.5k,11.6k,12.5k,13.2k,14.3k,13.4k,14.2k,16k
Antigua and Barbuda,17.5k,17.9k,18.7k,17.4k,18k,18.5k,18.9k,19.1k,19.8k,18.5k,18.3k,19.1k,19.8k,20.7k,22.9k,24.6k,24k,20.7k,18.7k,18.1k,18.5k,18.2k,18.8k,19.3k,20.3k,20.8k,22.1k,22.9k,18.8k,19.9k,21.5k
Australia,32.4k,33.3k,34.3k,35.1k,35.9k,36.8k,38k,39.3k,40.2k,40.4k,41.4k,42k,43.1k,43.7k,44.1k,44.8k,45.2k,44.9k,45k,45.4k,46.4k,46.7k,47.2k,47.6k,48.1k,48.4k,49.1k,49.4k,48.7k,49.8k,51k
Austria,39.1k,39k,39.8k,40.8k,41.7k,42.6k,44k,45.5k,46.9k,47.3k,47.8k,48k,49k,49.7k,51.1k,52.8k,53.3k,51.1k,51.8k,53.2k,53.3k,53k,52.9k,52.9k,53.3k,54.2k,55.2k,55.8k,52k,54.1k,56.3k
Azerbaijan,6220,4700,3710,3220,3220,3380,3650,3890,4240,4580,4950,5390,5820,7320,9690,11.9k,12.8k,13.7k,14.1k,13.9k,14k,14.7k,14.9k,14.9k,14.2k,14.1k,14.2k,14.4k,13.7k,14.4k,15k
Burundi,1290,1240,1190,1030,933,913,932,896,865,858,868,828,834,808,820,815,818,804,804,808,814,825,831,782,764,751,740,730,711,714,708
